phi,dt,q
0.001,0.5,0.1
0.001,2.076923076923077,0.1
0.001,3.6538461538461537,0.1
0.001,5.230769230769231,0.1
0.001,6.8076923076923075,0.1
0.001,8.384615384615385,0.1
0.001,9.961538461538462,0.1
0.001,11.538461538461538,0.1
0.001,13.115384615384615,0.1
0.001,14.692307692307692,0.1
0.001,16.26923076923077,0.1
0.001,17.846153846153847,0.1
0.001,19.423076923076923,0.1
0.001,21.0,0.1
0.034,0.5,0.1
0.034,2.076923076923077,0.1
0.034,3.6538461538461537,0.1
0.034,5.230769230769231,0.1
0.034,6.8076923076923075,0.1
0.034,8.384615384615385,0.1
0.034,9.961538461538462,0.1
0.034,11.538461538461538,0.1
0.034,13.115384615384615,0.1
0.034,14.692307692307692,0.1
0.034,16.26923076923077,0.1
0.034,17.846153846153847,0.1
0.034,19.423076923076923,0.1
0.034,21.0,0.1
0.067,0.5,0.1
0.067,2.076923076923077,0.1
0.067,3.6538461538461537,0.1
0.067,5.230769230769231,0.1
0.067,6.8076923076923075,0.1
0.067,8.384615384615385,0.1
0.067,9.961538461538462,0.1
0.067,11.538461538461538,0.1
0.067,13.115384615384615,0.1
0.067,14.692307692307692,0.1
0.067,16.26923076923077,0.1
0.067,17.846153846153847,0.1
0.067,19.423076923076923,0.1
0.067,21.0,0.1
0.1,0.5,0.1
0.1,2.076923076923077,0.1
0.1,3.6538461538461537,0.1
0.1,5.230769230769231,0.1
0.1,6.8076923076923075,0.1
0.1,8.384615384615385,0.1
0.1,9.961538461538462,0.1
0.1,11.538461538461538,0.1
0.1,13.115384615384615,0.1
0.1,14.692307692307692,0.1
0.1,16.26923076923077,0.1
0.1,17.846153846153847,0.1
0.1,19.423076923076923,0.1
0.1,21.0,0.1
