phi,dt,q
1.0e-6,0.5,1.4753274114552635
1.0e-6,1.2307692307692308,2.73424403119186
1.0e-6,1.9615384615384615,2.7326990386014125
1.0e-6,2.6923076923076925,2.69271067905487
1.0e-6,3.423076923076923,0.1
1.0e-6,4.153846153846154,0.1
1.0e-6,4.884615384615385,0.1
1.0e-6,5.615384615384615,0.1
1.0e-6,6.346153846153846,0.1
1.0e-6,7.076923076923077,0.1
1.0e-6,7.8076923076923075,0.1
1.0e-6,8.538461538461538,0.1
1.0e-6,9.26923076923077,0.1
1.0e-6,10.0,0.1
8.571571428571428e-7,0.5,0.10042678800099515
8.571571428571428e-7,1.2307692307692308,2.647969046808357
8.571571428571428e-7,1.9615384615384615,2.671284579287009
8.571571428571428e-7,2.6923076923076925,0.11900913842376717
8.571571428571428e-7,3.423076923076923,0.1
8.571571428571428e-7,4.153846153846154,0.1
8.571571428571428e-7,4.884615384615385,0.1
8.571571428571428e-7,5.615384615384615,0.1
8.571571428571428e-7,6.346153846153846,0.1
8.571571428571428e-7,7.076923076923077,0.1
8.571571428571428e-7,7.8076923076923075,0.1
8.571571428571428e-7,8.538461538461538,0.1
8.571571428571428e-7,9.26923076923077,0.1
8.571571428571428e-7,10.0,0.1
7.143142857142857e-7,0.5,1.6052986106638998
7.143142857142857e-7,1.2307692307692308,2.52689713214768
7.143142857142857e-7,1.9615384615384615,2.5078244433735954
7.143142857142857e-7,2.6923076923076925,2.5869360634979266
7.143142857142857e-7,3.423076923076923,0.1
7.143142857142857e-7,4.153846153846154,0.1
7.143142857142857e-7,4.884615384615385,0.1
7.143142857142857e-7,5.615384615384615,0.1
7.143142857142857e-7,6.346153846153846,0.1
7.143142857142857e-7,7.076923076923077,0.1
7.143142857142857e-7,7.8076923076923075,0.1
7.143142857142857e-7,8.538461538461538,0.1
7.143142857142857e-7,9.26923076923077,0.1
7.143142857142857e-7,10.0,0.1
5.714714285714285e-7,0.5,1.4366574773047531
5.714714285714285e-7,1.2307692307692308,2.7078492067150384
5.714714285714285e-7,1.9615384615384615,2.7054734651833585
5.714714285714285e-7,2.6923076923076925,2.7030882304128947
5.714714285714285e-7,3.423076923076923,0.1
5.714714285714285e-7,4.153846153846154,0.1
5.714714285714285e-7,4.884615384615385,0.1
5.714714285714285e-7,5.615384615384615,0.1
5.714714285714285e-7,6.346153846153846,0.1
5.714714285714285e-7,7.076923076923077,0.1
5.714714285714285e-7,7.8076923076923075,0.1
5.714714285714285e-7,8.538461538461538,0.1
5.714714285714285e-7,9.26923076923077,0.1
5.714714285714285e-7,10.0,0.1
4.286285714285714e-7,0.5,2.718433920379356
4.286285714285714e-7,1.2307692307692308,0.25445459179641366
4.286285714285714e-7,1.9615384615384615,0.2627748857438266
4.286285714285714e-7,2.6923076923076925,2.4596711980722854
4.286285714285714e-7,3.423076923076923,0.1
4.286285714285714e-7,4.153846153846154,0.1
4.286285714285714e-7,4.884615384615385,0.1
4.286285714285714e-7,5.615384615384615,0.1
4.286285714285714e-7,6.346153846153846,0.1
4.286285714285714e-7,7.076923076923077,0.1
4.286285714285714e-7,7.8076923076923075,0.1
4.286285714285714e-7,8.538461538461538,0.1
4.286285714285714e-7,9.26923076923077,0.1
4.286285714285714e-7,10.0,0.1
2.8578571428571426e-7,0.5,2.70361143608345
2.8578571428571426e-7,1.2307692307692308,2.7085239550026716
2.8578571428571426e-7,1.9615384615384615,2.683639741878654
2.8578571428571426e-7,2.6923076923076925,2.6595787370500137
2.8578571428571426e-7,3.423076923076923,0.1
2.8578571428571426e-7,4.153846153846154,0.1
2.8578571428571426e-7,4.884615384615385,0.1
2.8578571428571426e-7,5.615384615384615,0.1
2.8578571428571426e-7,6.346153846153846,0.1
2.8578571428571426e-7,7.076923076923077,0.1
2.8578571428571426e-7,7.8076923076923075,0.1
2.8578571428571426e-7,8.538461538461538,0.1
2.8578571428571426e-7,9.26923076923077,0.1
2.8578571428571426e-7,10.0,0.1
1.4294285714285713e-7,0.5,2.5985685725226864
1.4294285714285713e-7,1.2307692307692308,2.5629164700244753
1.4294285714285713e-7,1.9615384615384615,0.0968639442180481
1.4294285714285713e-7,2.6923076923076925,1.567253225150926
1.4294285714285713e-7,3.423076923076923,0.1
1.4294285714285713e-7,4.153846153846154,0.1
1.4294285714285713e-7,4.884615384615385,0.1
1.4294285714285713e-7,5.615384615384615,0.1
1.4294285714285713e-7,6.346153846153846,0.1
1.4294285714285713e-7,7.076923076923077,0.1
1.4294285714285713e-7,7.8076923076923075,0.1
1.4294285714285713e-7,8.538461538461538,0.1
1.4294285714285713e-7,9.26923076923077,0.1
1.4294285714285713e-7,10.0,0.1
1.0e-10,0.5,0.09771393407083984
1.0e-10,1.2307692307692308,0.10109175768635231
1.0e-10,1.9615384615384615,0.06752548099424253
1.0e-10,2.6923076923076925,0.10252707844072606
1.0e-10,3.423076923076923,0.1
1.0e-10,4.153846153846154,0.1
1.0e-10,4.884615384615385,0.1
1.0e-10,5.615384615384615,0.1
1.0e-10,6.346153846153846,0.1
1.0e-10,7.076923076923077,0.1
1.0e-10,7.8076923076923075,0.1
1.0e-10,8.538461538461538,0.1
1.0e-10,9.26923076923077,0.1
1.0e-10,10.0,0.1
